company,name,title,reports_to,org_status,image_src
google,Jung Kim,"Director, UX",Meriah Moulton,5,https://cdn.theorg.com/f6964631-afde-4023-80e3-a86ba8dbc543_thumb.jpg
apple,Ann Thai,"Senior Director, Apple Marketplace Platforms & Technologies",Kelly Lynn,4,
amazon,Mai le,"Vp, AWS",Matt Garman,3,https://cdn.theorg.com/70f0d92b-77a3-4fca-9024-87deaafc280f_thumb.jpg
netflix,Darnell Moore,Vice President Of Inclusion Strategy,Sergio Ezama,3,https://cdn.theorg.com/ec60fd78-6a21-4dc3-8ee0-60fcfb905bcc_thumb.jpg
google,Kyle Schumacher,Head Of Brand Marketing - Gemini,Cassidy Morgan,5,https://cdn.theorg.com/d3b50948-bc92-47aa-a25f-d94d68bff3ba_thumb.jpg
disney,Tao Xiong,"Senior Director Of Research, Disney+ Hotstar",Erik Crouthamel,5,https://cdn.theorg.com/7e861b10-303e-4ed4-a1cb-f183bc3d085f_thumb.jpg
disney,Vivan Kaul,"Principal Technical Program Manager, Disney Entertainment & ESPN Technology",Dana Walden,3,https://cdn.theorg.com/27982d44-0c87-4140-bbc8-c4a415d6efc5_thumb.jpg
stripe,Suryaveer Lodha,Head Of Money Movement And Storage,Steffan Tomlinson,4,https://cdn.theorg.com/bbcdc3e4-17a0-4d2b-9567-d150d21ad347_thumb.jpg
amazon,Mat Mitchell,Operations Manager,Tia Hamid,6,https://cdn.theorg.com/1fac669a-cdfa-4d5c-a219-f7a58e19b6e5_thumb.jpg
tesla,Dhruman Gohil,"Supply Chain Manager, PCBA",Karn Budhiraj,4,
google,Cedric Bernard,Principal Industrial Designer,Ivy Ross,4,https://cdn.theorg.com/2d743818-3bf2-4117-a3db-d8274f18bcf3_thumb.jpg
google,Bradley Patrie,Senior Designer,Myles O'Neill,5,https://cdn.theorg.com/e874897f-35b0-4aaf-955b-d67ca393ea05_thumb.jpg
apple,Fang Lu,Machine Learning Manager,Gaurav Kapoor,4,https://cdn.theorg.com/9fbd5213-8318-4055-ae27-871253b39087_thumb.jpg
netflix,Ira Lam,"Head Of Legal, Netflix Games",David Hyman,3,https://cdn.theorg.com/953570d0-f072-4e4f-bf12-bb838d0c061b_thumb.jpg
meta,Liz O'Neal,Creative Director,Elisabeth Carr,7,https://cdn.theorg.com/1b297b6e-6011-40a7-aeab-0153a85ba999_thumb.jpg
amazon,Yusheng X.,Principal Applied Scientist,Robert Williams,4,https://cdn.theorg.com/f6cf79fc-d739-4713-b492-2017d0e973b0_thumb.jpg
nike,Courtenay McHugh,"Director, Climate & Energy, Global Supply Chain",Rajeev Aikkara,6,https://cdn.theorg.com/cbfb00dd-d0c2-4bf8-b8d8-d8252432cc09_thumb.jpg
microsoft,Colleen M Daly,"Director, Occupational Health, Safety And Research",Peter Lee,4,https://cdn.theorg.com/9d03185b-03b4-4368-b3db-6b1db569d13e_thumb.jpg
disney,Trevor Lalish-Menagh,Director Software Engineering,Christian Villoslada,4,https://cdn.theorg.com/a4ef785c-fd15-497b-b7a1-738d396c20a8_thumb.jpg
meta,Ann McInroy,Senior DFX Engineer - Reality Labs,Gaurav Mathur,6,https://cdn.theorg.com/1ab3162d-89d7-4cc6-ae99-f2d340b27d48_thumb.jpg
google,Anish George,"Head Of Launch Management, Analytics, And Stratops (platform & Devices Ops)",Monique Picou,4,https://cdn.theorg.com/b5f53728-5c82-4a63-8d3d-9a5c8f8677a6_thumb.jpg
nike,Nathan Frerichs,Director Of Product Management,Marsha,8,
