name,title,image_src,reports_to,chart_status
Satya Nadella,Chairman & CEO,https://cdn.theorg.com/ecbb3a7e-940d-4cd4-bf10-46142f41336b_thumb.jpg,Satya Nadella,1
Judson Althoff,EVP & Chief Commercial Officer,https://cdn.theorg.com/f4c3e208-a9d4-4923-a623-04f9f570afbf_thumb.jpg,Satya Nadella,2
Brad Smith,President & Vice Chair,https://cdn.theorg.com/ba38b0bf-2f65-49a0-9d41-b420dc8e5e7a_thumb.jpg,Satya Nadella,2
Kevin Scott,"CTO & EVP, Technology & Research",https://cdn.theorg.com/a1c903ec-d683-46f9-85b1-56e9e1b3751b_thumb.jpg,Satya Nadella,2
Amy Hood,EVP & CFO,https://cdn.theorg.com/6f3ac5dd-2282-438b-b228-e7e7385d41d3_thumb.jpg,Satya Nadella,2
Phil Spencer,"EVP, Gaming",https://cdn.theorg.com/24917ebb-7b72-44b4-8baf-420d4121b779_thumb.jpg,Satya Nadella,2
Kathleen Hogan,Chief People Officer,https://cdn.theorg.com/2fd8c93d-2833-4a74-a57d-6e2feb146d12_thumb.jpg,Satya Nadella,2
Ryan Roslansky,"CEO, LinkedIn",https://cdn.theorg.com/63912c80-6d46-4c94-8b18-2d4791773253_thumb.jpg,Satya Nadella,2
Christopher Young,"Executive Vice President, Business Development, Strategy and Ventures",https://cdn.theorg.com/9c24b2d0-7ac3-485d-b2d4-9ef467fa5744_thumb.jpg,Satya Nadella,2
Charlie Bell,"EVP, Security, Compliance, Identity & Management",https://cdn.theorg.com/1e3dbd95-a394-4ea7-bba8-403ab7371a3f_thumb.jpg,Satya Nadella,2
Jason Zander,"EVP, Strategic Missions & Technologies",https://cdn.theorg.com/11de02c9-bd38-43af-b663-2e51d087055e_thumb.jpg,Satya Nadella,2
Scott Guthrie,"EVP, Cloud & AI",https://cdn.theorg.com/623ad1d2-21bc-457b-9655-a2302c0d357d_thumb.jpg,Satya Nadella,2
Takeshi Numoto,EVP & Commercial Chief Marketing Officer,https://cdn.theorg.com/e18fc7d5-61f5-4b12-966b-e5b86ca8b584_thumb.jpg,Satya Nadella,2
Ralph Haupter,"President, Microsoft EMEA",https://cdn.theorg.com/1270ead6-de92-4643-ac0d-e06e6af46f94_thumb.jpg,Satya Nadella,2
Samer Abu-Ltaif,"President, Microsoft CEMA",https://cdn.theorg.com/ad5392e7-797c-4bbf-afac-8e14c5b17a69_thumb.jpg,Satya Nadella,2
Andrea Della Mattea,"President, APAC",https://cdn.theorg.com/f9916b93-4aa3-4beb-9204-f09e12fc565b_thumb.jpg,Satya Nadella,2
Mustafa Suleyman,"CEO, Microsoft AI",https://cdn.theorg.com/f6328f8b-fe61-49dc-a957-8b4a277b547c_thumb.jpg,Satya Nadella,2
Carolina Dybeck Happe,COO,https://cdn.theorg.com/687b8448-417a-4e6a-9ec8-53fec4c682e5_thumb.jpg,Satya Nadella,2
Jon Friedman,"CVP, Design & Research",https://cdn.theorg.com/2184a4b6-cba0-4085-b8b1-4128cb9f99cc_thumb.jpg,Satya Nadella,2
Emma Williams,"CVP, Microsoft Office Modern Workplace Transformations",no_match,Satya Nadella,2
Guarav Sareen,"CVP, Global Experiences & Platforms",https://cdn.theorg.com/47f5db17-803d-41a6-9f51-46d31aebc3af_thumb.jpg,Satya Nadella,2
Jeff Teper,"President, Collaborative Apps & Platforms",https://cdn.theorg.com/bdbbc4fc-af7e-4787-823d-e69730514545_thumb.jpg,Satya Nadella,2
Brett Ostrum,"CVP, Surface Devices",https://cdn.theorg.com/4cefa32b-0731-4abc-be47-039c5ded01d4_thumb.jpg,Satya Nadella,2
Deb Cupp,"President, North America",https://cdn.theorg.com/bea44982-1719-4c86-9b48-76f0b8259d88_thumb.jpg,Judson Althoff,3
Yvonne Chebib Brao,"Executive Senior Director, One Commercial Partner leader",https://cdn.theorg.com/2df42882-d708-4874-b8ce-e2ba7619cc3f_thumb.jpg,Judson Althoff,3
Shelley Bransten,"CVP, Global Retail & Consumer Goods",https://cdn.theorg.com/931891fc-142b-4cf9-ba16-f08ad4bdb2db_thumb.jpg,Judson Althoff,3
