name,title,image_src,reports_to,chart_status
Tim Cook,CEO,https://cdn.theorg.com/14536ead-e368-4fc3-8191-730897170247_thumb.jpg,Tim Cook,1
Luca Maestri,"SVP, CFO",https://cdn.theorg.com/27ddbe7e-a5f8-495a-a41a-c90771541d25_thumb.jpg,Tim Cook,2
Katherine Adams,"SVP, General Counsel",no_match,Tim Cook,2
Deirdre O’Brien,"SVP, Retail",https://cdn.theorg.com/13a9a24b-3a38-4452-b4a9-c93e1d448e2c_thumb.jpg,Tim Cook,2
John Giannandrea,"SVP, Machine Learning & AI Strategy",https://cdn.theorg.com/b3825a96-50d2-487e-814a-64cb7f62e5d2_thumb.jpg,Tim Cook,2
Johny Srouji,"SVP, Hardware Technologies",https://cdn.theorg.com/af755660-7c01-4a71-ab83-44ed8a83edd6_thumb.jpg,Tim Cook,2
John Ternus,"SVP, Hardware Engineering",no_match,Tim Cook,2
Craig Federighi,"Senior Vice President, Software Engineering",https://cdn.theorg.com/a4386e61-594f-4d22-b7e8-f2b17f50af1a_thumb.jpg,Tim Cook,2
Greg Joswiak,"Senior Vice President, Worldwide Marketing",https://cdn.theorg.com/910c99e9-5979-43bf-a8a9-b9bd97a78e97_thumb.jpg,Tim Cook,2
Eddy Cue,"Senior Vice President, Services",https://cdn.theorg.com/e01c4bbf-bb72-4c51-bc2a-350225a1449a_thumb.jpg,Tim Cook,2
Kristin Huguet Quayle,"VP, Worldwide Communications",https://cdn.theorg.com/1f2d31f7-0c50-409b-afc7-ebab589c791e_thumb.jpg,Tim Cook,2
Mike Fenger,"VP, Worldwide Sales",https://cdn.theorg.com/f35d3d4e-d884-4a0c-beff-c444ad693f4c_thumb.jpg,Tim Cook,2
Sabih Khan,"SVP, Operations",https://cdn.theorg.com/96c5a00f-1885-4595-bb9d-494c585a52ae_thumb.jpg,Tim Cook,2
Donal Conroy,"Vice President, Finance",no_match,Luca Maestri,3
Shawn Sweeney,"Head of Operations Finance, Apple TV+",https://cdn.theorg.com/173b316e-0db4-4bc4-8f29-6ff436415300_thumb.jpg,Luca Maestri,3
Chris Kondo,Senior Director of Corporate Accounting,https://cdn.theorg.com/a1bf332d-7588-4093-9126-79d4d11db619_thumb.jpg,Luca Maestri,3
Juli Monahan,Director of Sales Finance,https://cdn.theorg.com/336d8fde-1c68-47fb-a218-6146c987110c_thumb.jpg,Luca Maestri,3
Eric Petersen,Director of Finance,https://cdn.theorg.com/d1d399b3-91f9-4e85-a5e5-399d5dc41fdc_thumb.jpg,Luca Maestri,3
Jeffery Power,"Managing Director, Head of Braeburn Capital",https://cdn.theorg.com/8c15c685-6be1-46f5-a070-ab9f8bf8e325_thumb.jpg,Luca Maestri,3
Paul Capretta,"Finance Manager, Corporate FP&A",https://cdn.theorg.com/fef1f64e-cca5-4977-a551-4976d97a00c9_thumb.jpg,Luca Maestri,3
Elijah Farrell,Global Head Of Transfer Pricing,https://cdn.theorg.com/a6dc2070-d8b5-482a-b0a6-3262f7a68d6d_thumb.jpg,Luca Maestri,3
