name,title,image_src,reports_to,chart_status
Robert A. Iger,CEO,https://cdn.theorg.com/9795bcb2-5c04-4c1e-9bed-e64c1565d5c0_thumb.jpg,Robert A. Iger,1
Asad Ayaz,"Chief Brand Officer & President, Marketing",https://cdn.theorg.com/0a51eb2d-f2bb-4ddb-b39e-c3999636a4ad_thumb.jpg,Robert A. Iger,2
Tinisha Agramonte,SVP & Chief Diversity Officer,https://cdn.theorg.com/997fa40c-be24-4c38-8196-558d5654826b_thumb.jpg,Robert A. Iger,2
Horacio Gutierrez,"SEVP & Chief Legal & Compliance Officer, The Walt Disney Company",https://cdn.theorg.com/a9df4bc0-eed0-48af-a174-488c372defc0_thumb.jpg,Robert A. Iger,2
David L. Bowdich,SVP & Chief Security Officer,https://cdn.theorg.com/dd1b7356-6a62-4ef8-9aac-b7526724d6fb_thumb.jpg,Robert A. Iger,2
Nancy Lee,SVP & Chief of Staff to the Executive Chairman,https://cdn.theorg.com/13f920dc-a89e-4eac-b44a-8163bbbf705a_thumb.jpg,Robert A. Iger,2
Kristina Schake,Senior EVP & Chief Communications Officer,https://cdn.theorg.com/4522ee29-fc2d-45e2-9e82-2c54e6c89a6a_thumb.jpg,Robert A. Iger,2
Jan Koeppen,"President, EMEA",https://cdn.theorg.com/82f9149d-099a-4ad1-8c4f-7b804b7f829b_thumb.jpg,Robert A. Iger,2
Luke Kang,"President, Disney APAC",https://cdn.theorg.com/864c3af7-bcdb-43aa-8353-2a812ce81424_thumb.jpg,Robert A. Iger,2
Justin Connolly,"President, Disney Platform Distribution",https://cdn.theorg.com/af86e603-2c27-4ef5-a7f2-7ffb292736b7_thumb.jpg,Robert A. Iger,2
Hugh Johnston,"SEVP & CFO, The Walt Disney Company",https://cdn.theorg.com/ef8856fa-1bcd-4dcb-bb4a-d2f3410790a2_thumb.jpg,Robert A. Iger,2
Sonia Coleman,CHRO,https://cdn.theorg.com/e58cdb33-dc24-47b5-824c-afedc1a2bc19_thumb.jpg,Robert A. Iger,2
Stephanie Young,"President, Consumer Products, Games & Publishing",https://cdn.theorg.com/00068ef9-4786-4bd3-b6ad-f036a705d8de_thumb.jpg,Robert A. Iger,2
Gail Evans,EVP & Chief Digital & Technology Officer,no_match,Robert A. Iger,2
Lisa Becket,"EVP, Global Marketing",https://cdn.theorg.com/cdea4000-30a7-449b-9409-34015d0faa24_thumb.jpg,Robert A. Iger,2
Ken Potrock,"President, Disneyland Resort",https://cdn.theorg.com/d9e47d61-890c-4a0d-829c-11fb8dbecd20_thumb.jpg,Robert A. Iger,2
Tasia Filippatos,"President, Disney Consumer Products, Games & Publishing",no_match,Robert A. Iger,2
Jill Estorino,"President & MD, Disney Parks International",https://cdn.theorg.com/3ec1a69e-0c8c-4100-b3a2-df1be2b3da3a_thumb.jpg,Robert A. Iger,2
Barbara Bouza,"President, Walt Disney Imagineering",https://cdn.theorg.com/810a9fcb-22f4-4537-90cd-4fef79b07ff5_thumb.jpg,Robert A. Iger,2
